task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	7b/7bb62a	2172205	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:53:56.321	966ms	1s	61.4%	3.4 MB	7.3 MB	164.4 KB	5 KB
1	67/0d2949	2173957	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:GUNZIP_GFF (GCA_009858895.3_ASM985889v3_genomic.200409.gff.gz)	COMPLETED	0	2023-10-18 17:53:57.296	510ms	17ms	64.0%	0	0	120.8 KB	5 KB
3	7e/a640d0	2172208	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:53:56.327	1.7s	1s	85.2%	3.2 MB	5.4 MB	3.1 MB	8.3 MB
4	7b/3b93e6	2175081	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.primer.bed)	COMPLETED	0	2023-10-18 17:53:58.037	706ms	0ms	93.9%	3.2 MB	9.4 MB	1.5 MB	4.2 KB
5	66/5a7441	2171095	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-10-18 17:53:55.653	3.1s	0ms	72.2%	4.2 MB	9.9 MB	1.5 MB	897 B
6	10/3f3961	2175103	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2023-10-18 17:53:58.044	4.1s	4s	40.9%	85.5 MB	15.2 GB	19.3 MB	17.2 KB
10	f9/ae4b02	2176097	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2023-10-18 17:53:58.807	5.9s	5s	139.0%	1.3 GB	1.8 GB	36.7 MB	7.5 MB
9	84/51db75	2179041	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2023-10-18 17:54:02.136	11s	11s	297.8%	2.2 GB	2.6 GB	80.5 MB	40 MB
12	e7/41c887	2181944	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2023-10-18 17:54:04.693	10.8s	11s	127.3%	1.4 GB	1.8 GB	36.5 MB	6.4 MB
16	40/030780	2197274	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2023-10-18 17:54:15.540	7.1s	6s	177.5%	395.5 MB	3.9 GB	37.2 MB	4 MB
7	37/e2db7a	2193430	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2023-10-18 17:54:13.143	10.7s	9s	191.8%	818.1 MB	3.9 GB	73 MB	3.9 MB
15	25/240831	2206768	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2023-10-18 17:54:22.691	6.1s	5s	249.6%	504.1 MB	3.9 GB	33 MB	3.9 MB
8	f7/95f430	2208618	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2023-10-18 17:54:23.873	6s	4s	217.9%	412.5 MB	3.9 GB	32.8 MB	3.6 MB
13	1a/b5e929	2215985	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (SRR13500958)	COMPLETED	0	2023-10-18 17:54:28.831	10.5s	8s	121.1%	1.2 GB	1.6 GB	44.9 MB	13.1 MB
14	ad/3bc00b	2217395	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2023-10-18 17:54:29.915	9.6s	5s	231.5%	549.8 MB	3.9 GB	34.1 MB	3.8 MB
17	f7/f1a26f	2226891	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2023-10-18 17:54:39.603	6.1s	4s	202.0%	244.6 MB	3.8 GB	27.4 MB	3.7 MB
11	72/5a9442	2226673	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2023-10-18 17:54:39.490	9.4s	8s	152.9%	1.5 GB	2 GB	38.9 MB	9.1 MB
19	03/689626	2241367	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2023-10-18 17:54:48.846	10.2s	8s	211.8%	770.2 MB	3.9 GB	60.1 MB	3.8 MB
18	ef/0e0b4c	2237129	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2023-10-18 17:54:45.749	17.8s	17s	387.3%	93.5 MB	885.6 MB	92.8 MB	84.5 MB
21	1a/8cf279	2263675	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2023-10-18 17:55:03.571	6.1s	5s	203.3%	508 MB	3.9 GB	26.3 MB	3.8 MB
22	93/5afffa	2269870	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-18 17:55:09.698	34.6s	35s	389.1%	109.5 MB	781.7 MB	116.8 MB	107.1 MB
23	7d/e8d21a	2315210	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2023-10-18 17:55:44.286	8.8s	7s	205.0%	465.4 MB	3.9 GB	33.1 MB	3.9 MB
24	9f/b9bba8	2328947	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2023-10-18 17:55:53.722	35.6s	33s	382.6%	135.5 MB	791.3 MB	92.6 MB	83.1 MB
25	7f/d9a305	2375232	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2023-10-18 17:56:29.386	7.8s	7s	185.1%	531.5 MB	3.9 GB	29.1 MB	3.8 MB
