task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
26	bb/df66b7	2386137	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2023-10-18 17:56:37.239	53.9s	54s	390.7%	113.8 MB	919.8 MB	173.3 MB	163.5 MB
27	e5/653e14	2450900	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-18 17:57:31.165	5.5s	1s	172.2%	3.4 MB	7.3 MB	7.9 MB	7.4 MB
28	5a/5be32e	2458422	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-18 17:57:36.695	1.1s	1s	183.5%	3.4 MB	7.3 MB	5.2 MB	4.6 MB
29	6e/12dcff	2460089	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-18 17:57:37.816	1s	0ms	188.2%	3.3 MB	7.3 MB	12.1 MB	5.1 MB
30	0a/7db063	2461688	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-18 17:57:38.857	1.7s	1s	160.9%	151.7 MB	3.6 GB	8 MB	7.2 MB
31	4b/27e906	2464353	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-18 17:57:40.621	615ms	1s	85.0%	3.3 MB	7.3 MB	7.5 MB	5.2 KB
32	76/e3e21b	2465408	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-18 17:57:41.242	554ms	0ms	96.3%	3.4 MB	7.3 MB	4.8 MB	5.2 KB
33	af/799343	2466345	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-18 17:57:41.806	510ms	0ms	79.8%	3.4 MB	7.3 MB	5.2 MB	5.2 KB
34	0b/af8bf5	2467293	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-18 17:57:42.322	544ms	0ms	95.1%	3.3 MB	7.3 MB	7.3 MB	5.2 KB
20	06/e9b5f9	2256993	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-18 17:54:59.037	4m 1s	4m	396.9%	121.6 MB	906.2 MB	820.8 MB	807.8 MB
35	5e/2dedca	2564031	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-18 17:59:00.033	4.6s	4s	220.8%	728.2 MB	3.7 GB	35.6 MB	32.4 MB
36	c3/df5d22	2570207	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-18 17:59:04.669	912ms	1s	128.4%	3.4 MB	7.3 MB	32.6 MB	5.2 KB
37	6a/994c81	2571685	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:05.595	443ms	0ms	82.9%	3.8 MB	11.4 MB	195 KB	5.1 KB
39	e8/bd9e8b	2571694	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:05.599	471ms	0ms	80.6%	3.4 MB	7.6 MB	195 KB	5.1 KB
41	28/7b41f2	2572060	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:05.756	454ms	1s	79.0%	3.5 MB	7.3 MB	195 KB	5.1 KB
43	c3/a5d369	2572003	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-18 17:59:05.734	505ms	1s	105.1%	3.6 MB	9.3 MB	4.8 MB	5.6 KB
42	f1/7a7c81	2572011	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-18 17:59:05.738	533ms	1s	92.0%	3.4 MB	7.3 MB	7.5 MB	5.6 KB
50	ea/3fe7d1	2573112	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-18 17:59:06.043	441ms	0ms	77.8%	3.1 MB	5.4 MB	195 KB	5.1 KB
47	2a/b3678d	2573162	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:06.074	440ms	0ms	79.8%	4 MB	11.7 MB	195 KB	5.1 KB
45	1a/81b9db	2573567	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-18 17:59:06.244	513ms	0ms	125.3%	3.8 MB	11.3 MB	7.3 MB	5.6 KB
44	b6/e19064	2573673	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-18 17:59:06.276	511ms	0ms	106.0%	3.4 MB	7.3 MB	5.2 MB	5.6 KB
46	92/211df7	2573494	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2023-10-18 17:59:06.215	844ms	0ms	136.0%	3.4 MB	7.3 MB	32.6 MB	5.6 KB
48	15/eef8c1	2575910	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:07.466	1.1s	1s	97.3%	8 MB	211.4 MB	5.2 MB	139 KB
38	e8/a06436	2575856	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:07.446	1.2s	1s	99.1%	3.9 MB	11.6 MB	7.5 MB	94.4 KB
40	21/a40301	2575958	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:07.476	1.2s	1s	111.7%	8 MB	211.4 MB	4.8 MB	104.9 KB
49	75/45dce9	2575902	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:07.462	1.5s	1s	109.9%	7.8 MB	211.4 MB	7.3 MB	104.6 KB
54	c1/575eea	2578229	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2023-10-18 17:59:08.612	3.8s	3s	82.3%	15.8 MB	21.7 MB	7.4 MB	7.3 MB
51	ca/713f2c	2575938	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2023-10-18 17:59:07.471	5.7s	6s	111.3%	7.9 MB	211.4 MB	32.6 MB	99.2 KB
53	80/7531e4	2584445	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2023-10-18 17:59:13.218	3.7s	3s	97.7%	15.6 MB	21.6 MB	7.6 MB	7.4 MB
52	5e/884faa	2588003	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2023-10-18 17:59:16.968	2s	1s	97.7%	13.2 MB	20.2 MB	4.8 MB	4.6 MB
55	4e/fc29ce	2590239	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2023-10-18 17:59:18.932	1.9s	1s	71.7%	14 MB	19.8 MB	5.3 MB	5.1 MB
57	77/01edda	2592280	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-18 17:59:20.810	1.3s	1s	222.3%	3.3 MB	7.3 MB	7.4 MB	7.2 MB
56	72/721bae	2583531	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2023-10-18 17:59:12.441	10.6s	10s	98.6%	35 MB	40.8 MB	32.6 MB	32.9 MB
58	5b/6952e8	2593562	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-18 17:59:22.141	1.2s	1s	189.8%	3.3 MB	7.3 MB	7.6 MB	7.4 MB
59	db/5ea8b8	2594438	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-18 17:59:23.062	978ms	0ms	212.5%	3.4 MB	7.3 MB	4.7 MB	4.6 MB
60	ff/760f61	2594778	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-18 17:59:23.306	857ms	1s	189.2%	3.4 MB	7.3 MB	5.3 MB	5.1 MB
61	a8/f6c593	2595492	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-18 17:59:24.045	512ms	0ms	98.2%	3.4 MB	7.3 MB	7.4 MB	5.2 KB
63	2e/2e1bbf	2596222	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-18 17:59:24.561	5.4s	5s	187.7%	741.3 MB	3.7 GB	33 MB	32.8 MB
65	1a/0ebfdc	2601965	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-18 17:59:30.003	624ms	0ms	69.6%	3.4 MB	7.3 MB	7.6 MB	5.2 KB
66	0f/d9cbf2	2602862	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-18 17:59:30.631	470ms	1s	86.5%	3.4 MB	7.3 MB	4.7 MB	5.2 KB
68	03/e5eb14	2603495	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-18 17:59:31.106	519ms	0ms	80.8%	3.4 MB	7.3 MB	5.3 MB	5.2 KB
74	8e/3cd169	2604167	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-18 17:59:31.631	1s	1s	104.9%	3.3 MB	7.3 MB	32.9 MB	5.2 KB
62	12/7812bd	2595650	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:24.169	12.5s	12s	118.3%	152 MB	224.8 MB	113.4 MB	105.9 MB
72	19/249929	2601963	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:30.008	17.7s	11s	143.6%	1.3 GB	9.3 GB	60 MB	854.9 KB
76	0e/ed6d45	2605781	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:32.666	15.2s	9s	168.6%	741.3 MB	9.4 GB	60.2 MB	844.5 KB
79	4a/a7f735	2605797	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:32.672	15.2s	8s	161.5%	800 MB	9.3 GB	57.4 MB	853.2 KB
64	8b/6f42a2	2613427	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:36.638	11.3s	7s	117.3%	79.1 MB	119.4 MB	60 MB	52.3 MB
91	e7/394993	2632162	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:47.874	863ms	0ms	77.0%	4.7 MB	11.8 MB	195 KB	5.1 KB
94	96/6a9d27	2632235	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-18 17:59:47.891	1.1s	0ms	75.1%	3.7 MB	9.4 MB	195 KB	5.1 KB
93	96/b28ac3	2634227	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:48.916	2.7s	0ms	24.4%	3.2 MB	5.4 MB	195 KB	5.1 KB
90	cf/7dcead	2634285	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-18 17:59:48.950	3s	0ms	59.7%	3.3 MB	7.3 MB	7.6 MB	5.6 KB
89	29/63710f	2639306	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:52.003	1.7s	0ms	19.6%	3.2 MB	5.4 MB	195 KB	5.1 KB
92	90/116020	2639283	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2023-10-18 17:59:51.957	2.1s	1s	22.6%	3.1 MB	5.4 MB	4.7 MB	5.6 KB
87	f6/b9cd0f	2642180	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-18 17:59:54.037	1.3s	1s	56.2%	3.1 MB	5.4 MB	7.4 MB	5.6 KB
101	77/5fce3f	2641658	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2023-10-18 17:59:53.706	2.3s	1s	112.3%	6.7 MB	209.9 MB	32.9 MB	5.6 KB
88	e6/993229	2644133	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:55.376	949ms	0ms	81.0%	3.4 MB	7.3 MB	195 KB	5.1 KB
97	de/9d882d	2645074	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-18 17:59:56.018	499ms	0ms	102.4%	3.2 MB	5.4 MB	5.3 MB	5.6 KB
67	3d/8638f9	2632275	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:47.908	9.3s	9s	114.7%	82.7 MB	124.9 MB	72 MB	67.2 MB
83	64/f2729d	2632137	NFCORE_VIRALRECON:ILLUMINA:PICARD_COLLECTMULTIPLEMETRICS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:47.858	9.6s	9s	142.8%	435.2 MB	9.3 GB	58 MB	887.4 KB
96	f3/3a6849	2645855	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2023-10-18 17:59:56.330	1.2s	1s	107.2%	3.3 MB	7.3 MB	7.6 MB	94.4 KB
95	8f/9a1101	2646171	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2023-10-18 17:59:56.521	1.5s	1s	107.0%	7.9 MB	211.4 MB	7.4 MB	104.3 KB
99	aa/3715db	2647823	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2023-10-18 17:59:57.414	989ms	1s	104.2%	7.7 MB	211 MB	5.3 MB	138.6 KB
98	26/e7fd88	2648009	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2023-10-18 17:59:57.500	1.1s	1s	110.0%	7.7 MB	211 MB	4.7 MB	104.2 KB
